date,pd_gbm,pd_jump,sigma_A_total,sigma_diffusive
2022-12-30 05:00:00,0.1093456159265677,0.10132,0.2404479742179829,0.13524624624053522
2023-01-30 05:00:00,0.0999609601433159,0.09552,0.2886696110084241,0.20929993582507042
2023-02-27 05:00:00,0.0955347946754428,0.09148,0.2881546686193401,0.20858914608326443
2023-03-30 04:00:00,0.0932237310989165,0.0888,0.2724056457065268,0.18622876960720522
2023-04-28 04:00:00,0.0940925314582762,0.08904,0.2534027968224847,0.15712827961280926
2023-05-30 04:00:00,0.0752119922316063,0.073415,0.2776716157745144,0.19385005809504743
2023-06-29 04:00:00,0.0507091388796178,0.050975,0.336051412875849,0.2709370238865077
2023-07-28 04:00:00,0.0322729543636699,0.033775,0.3202643268918582,0.2510887450606234
2023-08-30 04:00:00,0.0320325196213696,0.034955,0.2874453643469551,0.2076081797549834
2023-09-29 04:00:00,0.0326832818656001,0.03695,0.2598004182793807,0.16725004082141479
2023-10-30 04:00:00,0.0142437776379404,0.03084,0.1938065445202708,0.05
2023-11-29 05:00:00,0.0064248988453213,0.015485,0.2114259436031687,0.0719530989264117
2023-12-29 05:00:00,0.0040359786750113,0.00939,0.2397286217313767,0.1339631699156497
2024-01-30 05:00:00,0.0045852510798934,0.011365,0.2237613204150374,0.10269102848109353
2024-02-28 05:00:00,0.004531261050909,0.01229,0.2135218646861637,0.0778967619075409
2024-03-28 04:00:00,0.0030511906763689,0.009965,0.2122402621707802,0.07431182747682388
2024-04-29 04:00:00,0.0032510138664097,0.01174,0.2020827029027783,0.05
2024-05-30 04:00:00,0.0027512617800333,0.011535,0.1990496218015333,0.05
2024-06-28 04:00:00,0.0010722122029249,0.00573,0.210598323406195,0.06948361416998994
2024-07-30 04:00:00,0.0012441812409197,0.00742,0.2003338756628629,0.05
2024-08-30 04:00:00,0.0017670524120657,0.008525,0.2018006105271451,0.05
2024-09-27 04:00:00,0.001466414073787,0.0065,0.2153812396161494,0.08285769243234384
2024-10-30 04:00:00,0.000834186225505,0.00405,0.2314583660567637,0.11852971793727743
2024-11-29 05:00:00,0.0003983409918632,0.00245,0.238872254389925,0.13242459263274614
2024-12-30 05:00:00,0.0003006690016136,0.00197,0.243954000778873,0.14138554845754955
2025-01-30 05:00:00,0.0001347417658318,0.001205,0.2503513298160672,0.15215816493799136
2025-02-27 05:00:00,0.0003203275787685,0.002245,0.235104941760227,0.12550160340291855
2025-03-28 04:00:00,0.0008333633907512,0.00425,0.2268857937444841,0.10933198168737406
2025-04-29 04:00:00,0.0035478340324538,0.008005,0.2512413141341972,0.15361808729606707
2025-05-30 04:00:00,0.0025850462717209,0.005495,0.2804114607955696,0.19775466154336035
2025-06-27 04:00:00,0.0015733977531174,0.00357,0.2955995235410784,0.2187587647028943
2025-07-30 04:00:00,0.0009385021024348,0.00251,0.3001142316014802,0.22482186465370896
2025-08-29 04:00:00,0.0005677755888971,0.001825,0.2978395275168142,0.22177624527451728
2025-09-29 04:00:00,0.0006975689870262,0.00225,0.2882433828194893,0.20871168284465147
2025-10-30 04:00:00,0.0006196317174822,0.00222,0.2789756314657842,0.19571336635078546
2025-11-28 05:00:00,0.0011758550399572,0.00327,0.2777675989658942,0.19398751983543053
2025-12-30 05:00:00,0.0008658575506713,0.002405,0.2989665810598261,0.22328756214179352
2026-01-30 05:00:00,0.000989627119719,0.00265,0.297617239500679,0.22147762881299826
2026-02-27 05:00:00,0.0011222986538722,0.002715,0.3110498216111814,0.2392243932816457
2026-03-30 04:00:00,0.0022705235534446,0.00503,0.2800586314770933,0.19725403894837257
2026-04-29 04:00:00,0.0008266249020448,0.00291,0.2657889140982672,0.1764088027116555
2026-05-29 04:00:00,0.0006917174329278,0.00236,0.2787014205171105,0.19532229932826148
2026-06-29 04:00:00,0.0007655560452943,0.00236,0.2880503411192416,0.208444999545528
