date,pd_gbm,pd_jump,sigma_A_total,sigma_diffusive
2023-01-30 05:00:00,0.2362764562749499,0.22349,0.8233088639431925,0.05
2023-02-27 05:00:00,0.1995409194712519,0.191905,0.9311495688658764,0.4324537894348809
2023-03-30 04:00:00,0.2196939811095105,0.22401,0.7936865636871222,0.05
2023-04-28 04:00:00,0.2219608628796227,0.20892,0.8379690336420893,0.1488921144336992
2023-05-30 04:00:00,0.2225525983803276,0.24044,0.7700851396965173,0.05
2023-06-29 04:00:00,0.2072017640003367,0.25022,0.7284135435108505,0.05
2023-07-28 04:00:00,0.2172808159449719,0.23946,0.7627568352681562,0.05
2023-08-30 04:00:00,0.3720397129301057,0.54441,0.4813083806874176,0.05
2023-09-29 04:00:00,0.4469535820835016,0.616985,0.4087817196784475,0.05
2023-10-30 04:00:00,0.4369732671336319,0.594045,0.469535241548593,0.05
2023-11-29 05:00:00,0.4487320330314145,0.62583,0.3780055687121202,0.05
2023-12-29 05:00:00,0.4445655312889382,0.63535,0.3303269425019165,0.05
2024-01-30 05:00:00,0.4061287252913231,0.598505,0.4012824726524674,0.05
2024-02-28 05:00:00,0.3640938207478935,0.567575,0.419849674885773,0.05
2024-03-28 04:00:00,0.3743017139765866,0.6013,0.3444552578678225,0.05
2024-04-29 04:00:00,0.3724205522010052,0.61742,0.2913126889841851,0.05
2024-05-30 04:00:00,0.4912273731010919,0.617135,0.5033500299427869,0.05
2024-06-28 04:00:00,0.4947991274789974,0.601545,0.5689862933981927,0.05
2024-07-30 04:00:00,0.4748761405146953,0.592565,0.5523923876612096,0.05
2024-08-30 04:00:00,0.3473116641614733,0.568775,0.3935677082892779,0.05
2024-09-27 04:00:00,0.2770028987290305,0.56597,0.3160942572386465,0.05
2024-10-30 04:00:00,0.2578121627106654,0.561735,0.3047560127563246,0.05
2024-11-29 05:00:00,0.2393434220354302,0.547485,0.3103666812620986,0.05
2024-12-30 05:00:00,0.2478859891463289,0.57697,0.2663710124139522,0.05
2025-01-30 05:00:00,0.2309581628764366,0.53858,0.3159610826861789,0.05
2025-02-27 05:00:00,0.2214574687398999,0.53309,0.3145660668383775,0.05
2025-03-28 04:00:00,0.2190637918879297,0.550505,0.2867175438168763,0.05
2025-04-29 04:00:00,0.1955832990719523,0.55803,0.2547285166695426,0.05
2025-05-30 04:00:00,0.0366932067519281,0.4986,0.1822345333961897,0.05
2025-06-27 04:00:00,0.0195271222538591,0.524845,0.141940765588549,0.05
2025-07-30 04:00:00,0.0209241159511729,0.534215,0.1374660856415927,0.05
2025-08-29 04:00:00,0.0202464259240838,0.53964,0.1326491220381134,0.05
2025-09-29 04:00:00,0.0195378444145132,0.528715,0.1392413090479786,0.05
2025-10-30 04:00:00,0.0231766750923608,0.554575,0.1249020403915133,0.05
2025-11-28 05:00:00,0.0247595161607868,0.559565,0.1226877311298004,0.05
2025-12-30 05:00:00,0.0269723943179252,0.601185,0.086248232169378,0.05
2026-01-30 05:00:00,0.0305443521846421,0.596875,0.0933090439510172,0.05
2026-02-27 05:00:00,0.0359415488274637,0.61049,0.0822317640269768,0.05
2026-03-30 04:00:00,0.0385594563903232,0.62128,0.0716627802771995,0.05
2026-04-29 04:00:00,0.0508959673815324,0.587115,0.1168346061908325,0.05
2026-05-29 04:00:00,0.0408681755203891,0.576535,0.1210107193771278,0.05
2026-06-29 04:00:00,0.1023704537747187,0.560565,0.1815491335091067,0.05
