date,pd_gbm,pd_jump,sigma_A_total,sigma_diffusive
2023-01-30 05:00:00,0.0211992521805838,0.0251,0.300924201454112,0.09545985576363188
2023-02-27 05:00:00,0.0185658602603631,0.021905,0.3153972096567012,0.13428554985869315
2023-03-30 04:00:00,0.0195625511787552,0.023355,0.3033380996644522,0.10281639825270847
2023-04-28 04:00:00,0.018173529934763,0.025735,0.2820464410149834,0.05
2023-05-30 04:00:00,0.0190733267357673,0.043395,0.2490358216597674,0.05
2023-06-29 04:00:00,0.0159878160463166,0.03383,0.2587738145141922,0.05
2023-07-28 04:00:00,0.0154423781137142,0.031145,0.26275168911774,0.05
2023-08-30 04:00:00,0.0086067637780136,0.028655,0.2448799265405703,0.05
2023-09-29 04:00:00,0.0120083886924463,0.048,0.2242213287851573,0.05
2023-10-30 04:00:00,0.0122154139915234,0.0605,0.2089676042430559,0.05
2023-11-29 05:00:00,0.0131694844510705,0.048845,0.2262231525166548,0.05
2023-12-29 05:00:00,0.0127822165953985,0.04259,0.2343380514906877,0.05
2024-01-30 05:00:00,0.0093143549137592,0.046475,0.2178499952936034,0.05
2024-02-28 05:00:00,0.0114271641583568,0.06584,0.2008843343672916,0.05
2024-03-28 04:00:00,0.0109282516180879,0.065515,0.199874856248938,0.05
2024-04-29 04:00:00,0.01072452689062,0.076195,0.1890493472729323,0.05
2024-05-30 04:00:00,0.0112602450900169,0.077525,0.1891873416161605,0.05
2024-06-28 04:00:00,0.0100880911364131,0.091085,0.1744483833621139,0.05
2024-07-30 04:00:00,0.0092190909873432,0.064765,0.1957634169256922,0.05
2024-08-30 04:00:00,0.0123399001281086,0.08237,0.1874501331758359,0.05
2024-09-27 04:00:00,0.0122078643467134,0.071645,0.1970304808787346,0.05
2024-10-30 04:00:00,0.0121909895279983,0.08386,0.1857902537053516,0.05
2024-11-29 05:00:00,0.0049298243559189,0.042245,0.2056998840598322,0.05
2024-12-30 05:00:00,0.0053391826463577,0.041945,0.2081948663914396,0.05
2025-01-30 05:00:00,0.0050096718591663,0.034285,0.2183576433863406,0.05
2025-02-27 05:00:00,0.0036984715396521,0.03109,0.2160282446238736,0.05
2025-03-28 04:00:00,0.0049273369232655,0.036475,0.2141590654251421,0.05
2025-04-29 04:00:00,0.0193100876363753,0.05597,0.2312373330430149,0.05
2025-05-30 04:00:00,0.0154030358240587,0.040615,0.2445766900357488,0.05
2025-06-27 04:00:00,0.0137243307522444,0.02858,0.2626701416192992,0.05
2025-07-30 04:00:00,0.0105332957917216,0.017335,0.2820765454599976,0.05
2025-08-29 04:00:00,0.011689060932548,0.02619,0.2616858929308017,0.05
2025-09-29 04:00:00,0.0123281017230949,0.0144,0.3630406495359211,0.2244008071667344
2025-10-30 04:00:00,0.0109372156895236,0.01235,0.3876847068883597,0.2624054896467142
2025-11-28 05:00:00,0.0076793848115407,0.009145,0.3930807024595404,0.2703139798229166
2025-12-30 05:00:00,0.004192879625943,0.005305,0.4065930662713166,0.2896120345937469
2026-01-30 05:00:00,0.0027631218136136,0.00381,0.418658122871752,0.30631982124589563
2026-02-27 05:00:00,0.0024033710198654,0.00338,0.4178343441879831,0.30519296883221336
2026-03-30 04:00:00,0.001924644613996,0.00297,0.4004461879723804,0.2809169957536024
2026-04-29 04:00:00,0.0001365968428979,0.000725,0.325235864924888,0.15599864382442052
2026-05-29 04:00:00,9.137279057075807e-05,0.00059,0.3167906088467391,0.13752635709239916
2026-06-29 04:00:00,5.773776901783214e-05,0.0005,0.3088976766229196,0.11821583508420623
