,ROC AUC,Brier Score,Log Loss
GBM,0.910958904109589,0.054700687275330756,0.15702196168704902
Rolling Jump-Diffusion,0.919218372280419,0.05406640467118122,0.1601394240679546
Regime-Conditional Jump,0.9184125705076551,0.054487387492864074,0.16551580896353182
