ticker,date,pd_gbm,pd_jump_rolling,pd_regime_jump,label
AAPL,2022-10-28 04:00:00,1.4669262463853163e-16,0.0,0.0,0.0
AAPL,2022-11-29 05:00:00,1.8880270316732023e-14,0.0,0.0,0.0
AAPL,2022-12-30 05:00:00,9.660681547121573e-14,0.0,0.0,0.0
AAPL,2023-03-30 04:00:00,3.7787202701251004e-16,0.0,0.0,0.0
AAPL,2023-04-28 04:00:00,6.291895057959585e-17,0.0,0.0,0.0
AAPL,2023-05-30 04:00:00,2.5702202074952324e-20,0.0,0.0,0.0
AAPL,2023-06-29 04:00:00,9.048579827874944e-24,0.0,0.0,0.0
AAPL,2023-07-28 04:00:00,3.667751382442125e-25,0.0,0.0,0.0
AAPL,2023-08-30 04:00:00,9.241715177852131e-25,0.0,0.0,0.0
AAPL,2023-09-29 04:00:00,8.33301504455439e-25,0.0,0.0,0.0
AAPL,2023-10-30 04:00:00,1.2045953844814466e-28,0.0,0.0,0.0
AAPL,2023-11-29 05:00:00,7.516918732015023e-41,0.0,0.0,0.0
AAPL,2023-12-29 05:00:00,3.5491558529604635e-49,0.0,0.0,0.0
AAPL,2024-01-30 05:00:00,7.497258948957796e-50,0.0,0.0,0.0
AAPL,2024-02-28 05:00:00,7.723821069159323e-54,0.0,0.0,0.0
AAPL,2024-03-28 04:00:00,1.086820661784186e-50,0.0,0.0,0.0
AAPL,2024-04-29 04:00:00,4.940558556799274e-50,0.0,0.0,0.0
AAPL,2024-05-30 04:00:00,1.141409201695078e-49,0.0,0.0,0.0
AAPL,2024-06-28 04:00:00,3.969527121855029e-45,0.0,0.0,0.0
AAPL,2024-08-30 04:00:00,2.4202931726816386e-45,0.0,0.0,0.0
AAPL,2024-09-27 04:00:00,4.666040889881712e-46,0.0,0.0,0.0
AAPL,2024-10-30 04:00:00,3.0918148802193016e-41,0.0,0.0,0.0
AAPL,2024-11-29 05:00:00,6.026111608914936e-42,0.0,0.0,0.0
AAPL,2024-12-30 05:00:00,8.079422589282583e-43,0.0,0.0,0.0
AAPL,2025-01-30 05:00:00,5.1332269695622996e-39,0.0,0.0,0.0
AAPL,2025-02-27 05:00:00,2.9495796529546945e-37,0.0,0.0,0.0
AAPL,2025-03-28 04:00:00,1.086343182170194e-33,0.0,0.0,0.0
AAPL,2025-04-29 04:00:00,9.830079922229673e-20,0.0,0.0,0.0
AAPL,2025-05-30 04:00:00,8.549319572445835e-19,0.0,0.0,0.0
AAPL,2025-06-27 04:00:00,9.098920165033369e-20,0.0,0.0,0.0
MSFT,2022-07-29 04:00:00,1.09694502200528e-24,0.0,0.0,0.0
MSFT,2022-08-30 04:00:00,3.6319184798600724e-23,0.0,0.0,0.0
MSFT,2022-10-28 04:00:00,1.4410657359615543e-18,0.0,0.0,0.0
MSFT,2022-11-29 05:00:00,2.72024739550389e-17,0.0,0.0,0.0
MSFT,2022-12-30 05:00:00,6.385208532212932e-17,0.0,0.0,0.0
MSFT,2023-01-30 05:00:00,6.863765273754311e-17,0.0,0.0,0.0
MSFT,2023-02-27 05:00:00,2.567554726500629e-17,0.0,0.0,0.0
MSFT,2023-03-30 04:00:00,7.538427767223099e-19,0.0,0.0,0.0
MSFT,2023-04-28 04:00:00,7.091939138416344e-20,0.0,0.0,0.0
MSFT,2023-05-30 04:00:00,1.747511524869449e-22,0.0,0.0,0.0
MSFT,2023-06-29 04:00:00,5.8321621244412165e-24,0.0,0.0,0.0
MSFT,2023-07-28 04:00:00,5.992026317780207e-24,0.0,0.0,0.0
MSFT,2023-08-30 04:00:00,2.0740142097153645e-24,0.0,0.0,0.0
MSFT,2023-09-29 04:00:00,8.302792914823707e-25,0.0,0.0,0.0
MSFT,2023-10-30 04:00:00,1.8869522583453764e-29,0.0,0.0,0.0
MSFT,2023-11-29 05:00:00,4.994564421962247e-36,0.0,0.0,0.0
MSFT,2023-12-29 05:00:00,1.0712250975569858e-39,0.0,0.0,0.0
MSFT,2024-01-30 05:00:00,7.481062013390197e-46,0.0,0.0,0.0
