,ROC AUC,Brier Score,Log Loss
GBM (naive trailing vol),0.910958904109589,0.054700687275330756,0.15702196168704902
GBM (GARCH-forecast vol),0.9387590652699436,0.04402929329250685,0.12610841226597097
