ticker,distress_rate,avg_pd_gbm,avg_pd_jump
AAL,0.0,0.007983105060445436,0.10008366666666667
AAPL,0.0,3.869187977517051e-15,0.0
AMC,0.5666666666666667,0.298141938873503,0.48102966666666663
CCL,0.0,0.024968384542502994,0.02546193548387097
CVNA,0.0,0.2912764347521801,0.280933
F,0.0,0.0025747580859365135,0.07721
JNJ,0.0,6.423999577484747e-33,0.0
MSFT,0.0,5.3609661165591074e-18,0.0
SBH,0.0,0.002469009259924291,0.0033836363636363634
WBD,0.0,0.012294313409772393,0.044148
