date,equity_value,sigma_E_garch,default_point,asset_value,sigma_A,pd_garch_gbm
2023-01-30 05:00:00,10384253702.38004,0.5267892246275048,37418000000.0,46125162431.12174,0.12039614430746345,0.02012270009663455
2023-02-27 05:00:00,10169541739.890121,0.509833265306061,37418000000.0,45917362139.10758,0.11434679859061334,0.016732508198232153
2023-03-30 04:00:00,9414796584.410282,0.5022732205697895,37418000000.0,45165524282.234764,0.10598438150511089,0.01589011623632592
2023-04-28 04:00:00,8874763391.42036,0.5090738239589243,37418000000.0,44623471339.85236,0.10265334651035125,0.01775023408530596
2023-05-30 04:00:00,9512392705.359879,0.49282365192834443,37418000000.0,45266022874.01355,0.10468350410264221,0.01403211861294253
2023-06-29 04:00:00,11451307561.800402,0.46688550279503227,37418000000.0,47211366521.86482,0.11396943531909087,0.008709840429166801
2023-07-28 04:00:00,10924287515.870964,0.45725601055784537,37418000000.0,46686281098.22214,0.10761140809822242,0.007742667354923626
2023-08-30 04:00:00,9609989446.810482,0.3596601880821167,37418000000.0,45380744780.76144,0.076223126234381,0.00102303964583965
2023-09-29 04:00:00,8334730198.430442,0.3288549853706473,37418000000.0,44106002950.89597,0.06216479239476999,0.0004217791782405771
2023-10-30 04:00:00,7274182912.54032,0.3417682189238052,37418000000.0,43045281331.54122,0.057790639172605886,0.0007516171601496032
2023-11-29 05:00:00,7957357000.189518,0.25052556539954624,37418000000.0,43728868799.8528,0.04558843774273219,5.850831186009827e-06
2023-12-29 05:00:00,8939827265.219759,0.3345699562588395,37418000000.0,44711041169.60624,0.06692162551657192,0.00048373340077075683
2024-01-30 05:00:00,9506589305.050209,0.46384727232042033,36509500000.0,44399070121.60072,0.10002015555574621,0.009237323237908946
2024-02-28 05:00:00,10115063573.278542,0.3579561928625625,36509500000.0,45017373552.037704,0.08048496782198993,0.0008995378129057338
2024-03-28 04:00:00,10043093746.785418,0.3860267172284557,36509500000.0,44944396539.9856,0.08638855348576394,0.001964917185588837
2024-04-29 04:00:00,9146738924.657501,0.3665789971207575,36509500000.0,44048788351.16658,0.0761958362645582,0.0012797907549943702
2024-05-30 04:00:00,7484885041.936043,0.3926708948097905,36509500000.0,42385804991.16053,0.06950357307924081,0.0028906049257310796
2024-06-28 04:00:00,7412915215.442918,0.3828473827958087,36509500000.0,42314331921.55511,0.06719554203474562,0.0023131132683764095
2024-07-30 04:00:00,7039979695.671249,0.3871621831949883,36509500000.0,41941200891.77927,0.06512752279681597,0.0026517489000332847
2024-08-30 04:00:00,6948381224.164375,0.38528073591902723,36509500000.0,41849695607.45757,0.0641031062944886,0.002558995294374671
2024-09-27 04:00:00,7563398374.063957,0.3835219501743794,36509500000.0,42464782564.198975,0.06843688284471554,0.002318444170501558
2024-10-30 04:00:00,9120568021.936043,0.3900241212924999,36509500000.0,44021635661.78574,0.08095406694064712,0.0023516007551826197
2024-11-29 05:00:00,9500047047.342499,0.3836471713817118,36509500000.0,44401446798.75089,0.08220718027819697,0.0019455424125082446
2024-12-30 05:00:00,11528294192.127914,0.39742028008576674,36509500000.0,46429032124.72559,0.0988432950078282,0.002273445644521238
2025-01-30 05:00:00,11112867954.558414,0.4817394352298435,36603500000.0,46091011857.394455,0.11708109394954205,0.010886403158241423
2025-02-27 05:00:00,9554436216.39089,0.4410187093098273,36603500000.0,44540609978.69416,0.09506564474539136,0.006382373895777543
2025-03-28 04:00:00,7035957850.779207,0.40753993014059636,36603500000.0,42025794591.35156,0.06846111409543792,0.004134786586173748
2025-04-29 04:00:00,6509904792.5584135,0.45659965110438877,36603500000.0,41494300532.35513,0.07223424718153355,0.010088398422962382
2025-05-30 04:00:00,7502829853.723366,0.4589680048416815,36603500000.0,42486461234.60848,0.08169143177225857,0.0097859915691092
2025-06-27 04:00:00,7417346176.89089,0.46440703508820924,36603500000.0,42400029427.74788,0.08194356182258171,0.010662859357334185
2025-07-30 04:00:00,7568586721.164951,0.4745185297896663,36603500000.0,42549187004.755005,0.08523636566039886,0.012186377638738435
2025-08-29 04:00:00,8791659564.167524,0.48278222713092744,36603500000.0,43769878323.14294,0.09793091992531715,0.012664773785861758
2025-09-29 04:00:00,7483103044.332476,0.4833570334141296,36603500000.0,42461746772.810425,0.08613339847322388,0.013798040246680136
2025-10-30 04:00:00,8403695425.89089,0.4904751528660146,36603500000.0,43380056906.907745,0.0960909197769421,0.01433772443994793
2025-11-28 05:00:00,9238804757.720793,0.494874735540313,36603500000.0,44213588945.360825,0.10456226417532731,0.01446086130886196
2025-12-30 05:00:00,10080489274.611685,0.4955386154980922,36603500000.0,45054845786.26184,0.11203517461601692,0.013908719032462515
2026-01-30 05:00:00,8782004489.942436,0.4851878334989608,36811500000.0,43958393221.423355,0.09792564035267425,0.013125170162411524
2026-02-27 05:00:00,8630134914.092104,0.495850311236431,36811500000.0,43803646967.125824,0.09885762344275485,0.015196317062558603
2026-03-30 04:00:00,6721865195.907897,0.497242094930519,36811500000.0,41896344244.313805,0.08091524244966274,0.01722608863207718
2026-04-29 04:00:00,7468005491.87336,0.5017236831188225,36811500000.0,42640537677.85341,0.089113135526473,0.01743120702953111
2026-05-29 04:00:00,9666808037.896385,0.5072638779624228,36811500000.0,44836229396.80236,0.11074830254376716,0.016518930916395082
2026-06-29 04:00:00,11832595403.976974,0.5028245924270769,36811500000.0,47003156169.40283,0.1278561141190026,0.013918045139053377
