date,equity_value,sigma_E_garch,default_point,asset_value,sigma_A,pd_garch_gbm
2022-07-29 04:00:00,2027411050048.8281,0.45055702161337985,118598000000.0,2140790439399.1875,0.42669486348836244,1.2567063886463013e-11
2022-08-30 04:00:00,1903112945068.3596,0.40582561881473306,118598000000.0,2016492334418.8008,0.38300764918568597,1.2062540338867617e-13
2022-09-29 04:00:00,1718786563110.3513,0.3540309773650844,118598000000.0,1832165952460.7932,0.33212258201973843,1.0884585822083922e-16
2022-10-28 04:00:00,1706990354370.1172,0.45724155966859953,118598000000.0,1820369743719.22,0.428762856926833,1.922556491974745e-10
2022-11-29 05:00:00,1744168901000.9768,0.46554064423740193,118598000000.0,1857548290349.096,0.4371253862225401,3.2378009580850376e-10
2022-12-30 05:00:00,1740467879516.6013,0.45059074826672996,118598000000.0,1853847268866.497,0.42303308224994846,8.089235516324437e-11
2023-01-30 05:00:00,1761441587402.3435,0.4258983487035545,118598000000.0,1874820976752.756,0.40014223902699925,4.837455475176304e-12
2023-02-27 05:00:00,1820056127929.6875,0.41187369264601437,118598000000.0,1933435517280.1265,0.38772083761447657,5.338289613352512e-13
2023-03-30 04:00:00,2066625067382.8125,0.34910633110295947,118598000000.0,2180004456733.2544,0.33094973398382344,9.139508690106017e-19
2023-04-28 04:00:00,2235491461669.922,0.3623721935327108,118598000000.0,2348870851020.364,0.34488058133850646,3.467742443137668e-18
2023-05-30 04:00:00,2415009226318.3594,0.3278973826610912,118598000000.0,2528388615668.8013,0.31319362834684833,8.684165821547722e-23
2023-06-29 04:00:00,2443007882080.078,0.3123078669798178,118598000000.0,2556387271430.52,0.2984565715821153,3.915024287851273e-25
2023-07-28 04:00:00,2456638437011.7183,0.3200201756069616,125144000000.0,2576275785878.2397,0.30515904715041947,1.949340931821492e-23
2023-08-30 04:00:00,2392139391357.422,0.30451046702725415,125144000000.0,2511776740223.9434,0.2900064610008273,2.0431375079357635e-25
2023-09-29 04:00:00,2297265946777.3438,0.29122091508556314,125144000000.0,2416903295643.865,0.2768054031872944,4.0821481609730856e-27
2023-10-30 04:00:00,2454127687500.0,0.3087799866416483,125144000000.0,2573765036366.5215,0.294426843109557,4.554269035030533e-25
2023-11-29 05:00:00,2761949660156.25,0.24033652543404652,125144000000.0,2881587009022.7715,0.23035826531256168,5.3278359699942355e-43
2023-12-29 05:00:00,2741464030761.7188,0.17289385167289256,125144000000.0,2861101379628.24,0.1656642714151828,1.8727484846035613e-81
2024-01-30 05:00:00,2978764787841.797,0.14539893086545688,125144000000.0,3098402136708.3184,0.1397847007399735,1.803173412536255e-119
2024-02-28 05:00:00,2977919252685.547,0.15708279528841151,125144000000.0,3097556601552.0684,0.15101576517460127,1.4449221910866696e-102
2024-03-28 04:00:00,3072868677490.2344,0.15598310796887552,125144000000.0,3192506026356.756,0.15013772965124936,1.1903099085651187e-105
2024-04-29 04:00:00,2937967036132.8125,0.15063951721151236,125144000000.0,3057604384999.334,0.14474532352113997,1.231641532205748e-110
2024-05-30 04:00:00,3034143711669.922,0.18908079113402845,125144000000.0,3153781060536.4434,0.1819080914003913,6.385434683031457e-72
2024-06-28 04:00:00,3270336745117.1875,0.16276167589071522,125144000000.0,3389974093983.709,0.15701756845485149,3.175601550140054e-100
2024-07-30 04:00:00,3095399549780.3154,0.2230569531485387,146630000000.0,3235577460541.503,0.21339325074782864,1.3345344610600106e-48
2024-08-30 04:00:00,3058597976088.4526,0.18056508793727002,146630000000.0,3198775886849.64,0.17265229952107852,5.793170878496104e-73
2024-09-27 04:00:00,3138373173876.8145,0.18650092075495003,146630000000.0,3278551084638.002,0.17852687711446386,2.176952833436715e-69
2024-10-30 04:00:00,3171442250849.0645,0.18517139295856702,146630000000.0,3311620161610.252,0.17733325400212058,9.632005076961765e-71
2024-11-29 05:00:00,3111153308576.4004,0.19593657123669775,146630000000.0,3251331219337.588,0.1874889609057925,1.000252401135234e-62
