date,equity_value,sigma_E_garch,default_point,asset_value,sigma_A,pd_garch_gbm
2023-01-30 05:00:00,34943400278.09143,0.6883626858572701,39334000000.0,72370506880.60724,0.3383519221530036,0.038713034624032895
2023-02-27 05:00:00,38734198980.33142,0.6394744383070863,39334000000.0,76240436628.16454,0.32824883735903626,0.023343521673905833
2023-03-30 04:00:00,36085500926.97144,0.6159740338719147,39334000000.0,73611957318.09982,0.30477012513396584,0.02010277810631087
2023-04-28 04:00:00,33072299165.725708,0.6144680604716565,39334000000.0,70595380923.00916,0.29089622283042743,0.021699761684358373
2023-05-30 04:00:00,27459000463.485718,0.6004579287397065,39334000000.0,64987289411.25054,0.25677677120073983,0.022628093640150476
2023-06-29 04:00:00,30180600185.394283,0.5878590409418912,39334000000.0,67723539044.13892,0.2644094182576339,0.018178046788276944
2023-07-28 04:00:00,31079699907.302856,0.5748794812807213,39334000000.0,68633531307.00105,0.2623350870350252,0.015292404175053982
2023-08-30 04:00:00,31857299165.725708,0.5646805833904835,39334000000.0,69418721962.16785,0.2608507040822878,0.013214952827182644
2023-09-29 04:00:00,26389799165.725708,0.5658177564581753,39334000000.0,63944852515.58268,0.23559868084698457,0.016350158618611152
2023-10-30 04:00:00,23935500926.97144,0.5664011766914293,39334000000.0,61487731134.517815,0.22275650455950588,0.018033030317918152
2023-11-29 05:00:00,26195399351.119995,0.5927987631335069,39334000000.0,63729056245.00739,0.24658192543001592,0.021891331726922123
2023-12-29 05:00:00,27653400278.09143,0.5875276604275391,39334000000.0,65193424399.642136,0.25183809122863954,0.019742653090006317
2024-01-30 05:00:00,24633900930.404667,0.5737817263491417,36276500000.0,59264823882.12244,0.24078262205858358,0.0176438036577092
2024-02-28 05:00:00,21243690093.040466,0.576697657745505,36276500000.0,55869007240.07975,0.22193045435921635,0.02079326493049692
2024-03-28 04:00:00,21292468883.514404,0.57322219735575,36276500000.0,55920322555.51079,0.2207967763082971,0.020017336647315757
2024-04-29 04:00:00,19877849069.595337,0.5613562215557334,36276500000.0,54512390236.874725,0.20698586745878705,0.018695139376643757
2024-05-30 04:00:00,19707119813.919067,0.5549172322539053,36276500000.0,54345484679.709465,0.20334786655517054,0.017545526236721648
2024-06-28 04:00:00,18146160139.5607,0.5434657882918552,36276500000.0,52789916554.69081,0.18872905673359128,0.016509877137623526
2024-07-30 04:00:00,21414419348.716736,0.5253209453932967,36276500000.0,56068941320.98949,0.20196380696738023,0.011371604957782253
2024-08-30 04:00:00,19121760372.161865,0.5287904867908393,36276500000.0,53773331748.32504,0.1895550552593231,0.013239903517494411
2024-09-27 04:00:00,20438820279.1214,0.5335370160413051,36276500000.0,55089051088.03067,0.1995003268670393,0.013211098459565517
2024-10-30 04:00:00,18951029953.479767,0.5015395678494784,36276500000.0,53612990338.57236,0.17829316520037716,0.009282815804551698
2024-11-29 05:00:00,25560718883.514404,0.5155019922649628,36276500000.0,60221614871.302444,0.2197651630623645,0.008169409064709057
2024-12-30 05:00:00,25633890558.242798,0.5118145557133607,36276500000.0,60296063909.940125,0.2184936017834616,0.0077142304679830576
2025-01-30 05:00:00,26061479719.161987,0.5052728134631197,34188500000.0,58731494602.49634,0.22494839350190166,0.006334270769652796
2025-02-27 05:00:00,26994000000.0,0.5023716487754687,34188500000.0,59665236099.649605,0.2279556570935848,0.005763985976990513
2025-03-28 04:00:00,25447979719.161987,0.5055791660220845,34188500000.0,58117591454.08429,0.2221435397353054,0.006570013879985664
2025-04-29 04:00:00,21521581123.35205,0.5422842136932,34188500000.0,54175082402.34846,0.21703546324954495,0.013215513128710025
2025-05-30 04:00:00,24466380655.288696,0.5380397897699436,34188500000.0,57124119145.44681,0.23178540330334294,0.010925128615282819
2025-06-27 04:00:00,27730200468.063354,0.5341074937678311,34188500000.0,60391999518.93398,0.24634363900225137,0.008914541680844365
2025-07-30 04:00:00,32540040561.676025,0.532857715478047,34188500000.0,65205619944.40683,0.26678081677784965,0.007035168885863338
2025-08-29 04:00:00,28564560842.514038,0.5347926084521837,34188500000.0,61226710776.537056,0.25056946817306214,0.00866134989889323
2025-09-29 04:00:00,46282441497.80273,0.569317515813546,34188500000.0,78944604718.1919,0.3346186301783718,0.006791617506603649
2025-10-30 04:00:00,53055482059.47876,0.5668902787630651,34188500000.0,85722724122.24147,0.35147646629937845,0.005119850970462577
2025-11-28 05:00:00,58896000000.0,0.5392878520045737,34188500000.0,91572095578.27438,0.3471431829761358,0.0026015168187590336
2025-12-30 05:00:00,71018761310.5774,0.5326545184306711,34188500000.0,103698447176.51534,0.3649424316371462,0.0014350929996515248
2026-01-30 05:00:00,68299202270.50781,0.5302007028285743,28714000000.0,95747307264.68503,0.37829762550159046,0.0009248805891808125
2026-02-27 05:00:00,69861600189.20898,0.5210281437241059,28714000000.0,97310346738.9968,0.37412636574449165,0.0006978505507405143
2026-03-30 04:00:00,67183200378.41797,0.5178630583278809,28714000000.0,94631883956.64917,0.36772399262150524,0.000731986169888914
2026-04-29 04:00:00,67083998107.91016,0.5169873279011679,28714000000.0,94532716424.03328,0.36694358093300544,0.0007202197370062459
2026-05-29 04:00:00,66984800567.62696,0.09267667949426972,28714000000.0,94435312260.98259,0.06573736820011994,7.712624304217059e-79
2026-06-29 04:00:00,67282397918.70117,0.3132025774893247,28714000000.0,94732909587.48473,0.22244667330567647,2.4185439598055258e-08
