date,equity_value,sigma_E_garch,default_point,asset_value,sigma_A,pd_garch_gbm
2023-01-30 05:00:00,1060370000.0,2.2441112159293906,5879000000.0,3136354174.4972963,1.3049691818286295,0.864222362648483
2023-02-27 05:00:00,946910417.0787334,2.025306757166413,5879000000.0,3762262926.9099674,0.966843354624074,0.8155543506430765
2023-03-30 04:00:00,936306727.1912098,1.4386961199480393,5879000000.0,5707022149.674057,0.39751521270219475,0.563654624788418
2023-04-28 04:00:00,735896786.0674858,1.09553018391991,5879000000.0,6136136501.099315,0.1835760240350774,0.34955025625507974
2023-05-30 04:00:00,1454827617.752552,1.5427514897019012,5879000000.0,5815032342.967296,0.6032170912468259,0.59682798844285
2023-06-29 04:00:00,2729392254.6052933,2.0500380881134546,5879000000.0,5455404986.246633,1.3731447902554894,0.7606080034546567
2023-07-28 04:00:00,4667748687.415123,1.9718355931262312,5879000000.0,7760557539.062958,1.4342278985068782,0.6886889280397899
2023-08-30 04:00:00,5271099476.294517,1.5205043394623374,5879000000.0,9676749376.730398,0.9721379765081173,0.47096561316501434
2023-09-29 04:00:00,4451433211.460114,1.3701041876154993,5879000000.0,9205113630.686289,0.7826664209953997,0.40553701800130737
2023-10-30 04:00:00,2918138339.102268,1.5660353359132815,5879000000.0,7133472934.066434,0.8435861224507271,0.5553446071568136
2023-11-29 05:00:00,3394244343.707562,1.5140110616610567,5879000000.0,7762097875.263522,0.8386889590904507,0.5137126943692324
2023-12-29 05:00:00,5613598937.754632,1.5197337141380962,5879000000.0,10033904602.91921,0.9885815077199697,0.46335426718483347
2024-01-30 05:00:00,5042509499.220848,1.4898665920648893,4244000000.0,8324160893.166949,1.0165009208055442,0.4212332346887525
2024-02-28 05:00:00,8621617251.558304,1.5970421680050173,4244000000.0,11843239404.48752,1.2489710567007035,0.4077947940201371
2024-03-28 04:00:00,10042750908.355713,1.4855504515817797,4244000000.0,13487562203.480095,1.168597033411912,0.3286465458919601
2024-04-29 04:00:00,9568659101.934433,1.280490744027575,4244000000.0,13280312417.222998,0.964553470627202,0.22750884287993162
2024-05-30 04:00:00,11696931576.061249,1.2917518414668365,4244000000.0,15432787773.052732,1.0135198265496703,0.20856604684743235
2024-06-28 04:00:00,14704843783.664701,1.0983952150126994,4244000000.0,18642423993.01078,0.8794701355224691,0.09780023217058359
2024-07-30 04:00:00,14483220934.228897,0.5993961166090984,4244000000.0,18539851059.452053,0.4683628438024098,0.0013065849456364096
2024-08-30 04:00:00,17206678493.766785,1.1587650721595766,4244000000.0,21123673454.10728,0.9571207199464715,0.10652117388375343
2024-09-27 04:00:00,19395498152.122498,0.4939762032706237,4244000000.0,23452744196.380302,0.40852137252130133,2.152680881096535e-05
2024-10-30 04:00:00,23682888118.457794,0.3214309368483706,4244000000.0,27740141431.35698,0.27441867713732826,3.2542463088716244e-12
2024-11-29 05:00:00,29750120170.822144,0.44155382814558924,4244000000.0,33807373464.978897,0.3885625592265846,7.118248460436376e-08
2024-12-30 05:00:00,24053021798.62976,0.3679920908908835,4244000000.0,28110275111.32633,0.3148785186251978,1.0505914093725006e-09
2025-01-30 05:00:00,32510126540.203094,0.48624243978141984,3966000000.0,36301612457.22499,0.43545734437047484,3.3448874171278115e-07
2025-02-27 05:00:00,29747418771.209717,0.4651819731816339,3966000000.0,33538904732.82493,0.41259436912688724,1.9150200209283086e-07
2025-03-28 04:00:00,27241925089.66446,0.9124445538116275,3966000000.0,31022243729.211094,0.8022657229352259,0.013247447113035734
2025-04-29 04:00:00,32463481893.558502,0.874189257078096,3966000000.0,36250018566.002594,0.7832901892440122,0.006375290723954701
2025-05-30 04:00:00,43600939831.27594,0.7912436166309524,3966000000.0,47391818331.572136,0.727997933852406,0.0009502139197859527
2025-06-27 04:00:00,42548100253.08609,0.8392053281955333,3966000000.0,46338104515.79131,0.7706743093850114,0.0021000013258136007
2025-07-30 04:00:00,44457874435.5011,0.8093177880871277,3966000000.0,48248571845.18298,0.745790585220118,0.0011918585107087473
2025-08-29 04:00:00,49566152109.52759,0.7930832675996804,3966000000.0,53357234800.91935,0.7367618533762829,0.0006395300649012226
2025-09-29 04:00:00,52330189314.4989,0.7883184407803359,3966000000.0,56121374047.826675,0.7350851196145436,0.00048623728741880706
2025-10-30 04:00:00,40656983929.328926,0.8017264933528142,3966000000.0,44447549049.158,0.7334260574659462,0.0013970618629201173
2025-11-28 05:00:00,49909990516.77704,0.7727713508887217,3966000000.0,53701215793.09872,0.7182332719062818,0.00043199600153503114
2025-12-30 05:00:00,57246560490.26489,0.7470969387155756,3966000000.0,61037962680.20635,0.7006962213779201,0.0001499807231843675
2026-01-30 05:00:00,57049875386.8103,0.7543646477304031,3934000000.0,60810672239.57555,0.7077178786747944,0.0001726852257840506
2026-02-27 05:00:00,47527577320.86182,0.6995319001651262,3934000000.0,51288417893.75738,0.6482414415751365,0.00010507619320838169
2026-03-30 04:00:00,41360483891.48712,0.6962844605904307,3934000000.0,45121287279.94916,0.6382580889931277,0.00017591467977342103
2026-04-29 04:00:00,56406996264.26697,0.6538955129369025,3934000000.0,60167884872.52168,0.6130231621338563,1.2426708353872489e-05
2026-05-29 04:00:00,51913950000.0,0.6541695240175076,3934000000.0,55674835350.41906,0.6099804914953709,1.952978424577639e-05
2026-06-29 04:00:00,45314478868.10303,0.665786107672046,3934000000.0,49075347412.4773,0.6147661038935048,5.4205085515681044e-05
