Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-01 00:00:00-04:00,143.126719244379,144.23009034394354,143.0311503118215,144.18666076660156,6320200,0.0,0.0
2021-07-02 00:00:00-04:00,144.23881861382068,147.08849417583386,143.90866890924408,146.8104705810547,9059900,0.0,0.0
2021-07-06 00:00:00-04:00,145.88081152864822,146.70617227390906,145.08151383009843,145.9329376220703,6098500,0.0,0.0
2021-07-07 00:00:00-04:00,145.50726841007054,147.2622559390924,145.50726841007054,147.18406677246094,6293500,0.0,0.0
2021-07-08 00:00:00-04:00,146.56715875273014,147.2274579464886,145.59410300221066,146.89730834960938,5755500,0.0,0.0
2021-07-09 00:00:00-04:00,147.1492662726187,148.0180699008576,147.0363308156337,147.4794158935547,6120900,0.0,0.0
2021-07-12 00:00:00-04:00,147.46204344716512,148.7218061194224,146.42816495700964,147.24484252929688,7840500,0.0,0.0
2021-07-13 00:00:00-04:00,146.80176468156915,147.48811378290702,146.54112091587265,147.06240844726562,4691200,0.0,0.0
2021-07-14 00:00:00-04:00,147.69661225690314,148.41772083698433,146.8625549664204,148.06150817871094,6162900,0.0,0.0
2021-07-15 00:00:00-04:00,147.08846612018513,147.60974037562625,145.7157547108069,146.2804718017578,6656900,0.0,0.0
2021-07-16 00:00:00-04:00,146.25443338962205,146.90603626136053,145.9156004265938,146.04592895507812,5834900,0.0,0.0
2021-07-19 00:00:00-04:00,144.63844771121154,146.12410798882402,143.63064541468913,144.98597717285156,8219700,0.0,0.0
2021-07-20 00:00:00-04:00,145.00334236420593,148.40036825034102,144.95121625966468,146.34999084472656,9902800,0.0,0.0
2021-07-21 00:00:00-04:00,147.0884194942209,147.42725229276232,145.50719092976894,147.2534942626953,7585200,0.0,0.0
2021-07-22 00:00:00-04:00,147.14059095871121,148.626251076301,146.52373451630115,147.6792449951172,5281900,0.0,0.0
2021-07-23 00:00:00-04:00,148.56543617231142,149.5906181989639,148.02678210792743,149.2517852783203,5014900,0.0,0.0
2021-07-26 00:00:00-04:00,149.2778899913131,149.5559003411274,148.44383242807965,149.32131958007812,4484900,0.0,0.0
2021-07-27 00:00:00-04:00,149.26048815058036,150.05978601644273,148.278735662658,150.00765991210938,7089300,0.0,0.0
2021-07-28 00:00:00-04:00,150.06848196529646,150.63321240938967,149.50376477809766,149.59063720703125,5750700,0.0,0.0
2021-07-29 00:00:00-04:00,150.0771784880159,150.5984528323007,148.64364421322028,149.59063720703125,4214100,0.0,0.0
2021-07-30 00:00:00-04:00,149.90339179958627,150.2856675671384,149.29523183161382,149.60800170898438,5346400,0.0,0.0
2021-08-02 00:00:00-04:00,149.84255078491958,150.16400385933798,148.82605221237012,149.66879272460938,3721500,0.0,0.0
2021-08-03 00:00:00-04:00,150.06844867288729,151.60623482400595,149.81650145091115,151.5106658935547,6033000,0.0,0.0
2021-08-04 00:00:00-04:00,151.34565215407855,151.6844851793373,150.52897428373782,150.61585998535156,4793100,0.0,0.0
2021-08-05 00:00:00-04:00,151.0415080927189,151.0415080927189,149.79911207638833,150.90249633789062,4291000,0.0,0.0
2021-08-06 00:00:00-04:00,151.11971399081165,151.11971399081165,149.82519173709636,150.3986053466797,4581100,0.0,0.0
2021-08-09 00:00:00-04:00,150.92858988130826,151.38905481243881,150.24222748871443,150.91990661621094,3950200,0.0,0.0
2021-08-10 00:00:00-04:00,150.52890181681008,151.26739015431687,150.11187981499785,150.9720001220703,3678300,0.0,0.0
2021-08-11 00:00:00-04:00,151.38906698125408,151.58020488390534,150.78959021902006,150.99810791015625,4221300,0.0,0.0
2021-08-12 00:00:00-04:00,151.01547632661715,152.292605660859,150.81564191632452,152.21441650390625,4300400,0.0,0.0
2021-08-13 00:00:00-04:00,152.29260576260774,153.16140952549003,152.14491071374493,153.1266632080078,5882100,0.0,0.0
2021-08-16 00:00:00-04:00,153.38729048136128,154.55148421668358,152.8660029769733,154.50804138183594,4782800,0.0,0.0
2021-08-17 00:00:00-04:00,154.0475752436865,155.95894064939765,154.0475752436865,155.9241943359375,6041900,0.0,0.0
2021-08-18 00:00:00-04:00,155.95027872973574,155.95027872973574,153.89121801044047,153.94334411621094,7134100,0.0,0.0
2021-08-19 00:00:00-04:00,153.44809523925053,155.8025589456536,152.97026384094315,155.14227294921875,5615000,0.0,0.0
2021-08-20 00:00:00-04:00,155.4203180794261,156.3151849721866,154.70790582571428,155.89816284179688,5428700,0.0,0.0
2021-08-23 00:00:00-04:00,155.90686668022866,156.37880267191753,155.1639899006356,155.2251739501953,6461700,1.06,0.0
2021-08-24 00:00:00-04:00,154.68332478066768,154.87559846402817,153.188836302851,153.28497314453125,5734800,0.0,0.0
2021-08-25 00:00:00-04:00,153.54716076722784,153.7306862454256,151.97401856147295,152.2711639404297,5700300,0.0,0.0
2021-08-26 00:00:00-04:00,152.0264621435721,152.69942004774788,151.2398976685291,151.45838928222656,5031600,0.0,0.0
2021-08-27 00:00:00-04:00,152.31485441362238,152.31485441362238,150.9776869649541,151.13499450683594,7046100,0.0,0.0
2021-08-30 00:00:00-04:00,151.01262004279496,152.31483453520633,151.00388518127536,151.77297973632812,3252700,0.0,0.0
2021-08-31 00:00:00-04:00,151.62445819636048,152.49842472697043,150.74174346561503,151.30982971191406,7106800,0.0,0.0
2021-09-01 00:00:00-04:00,151.10875374962657,151.8428955078125,150.3746253271068,151.8428955078125,5327400,0.0,0.0
