Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-01 00:00:00-04:00,133.15110203776288,133.86266668828733,132.33229922059724,133.80418395996094,52485800,0.0,0.0
2021-07-02 00:00:00-04:00,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,0.0,0.0
2021-07-06 00:00:00-04:00,136.53351700878477,139.53574001915328,136.53351700878477,138.4342803955078,108181800,0.0,0.0
2021-07-07 00:00:00-04:00,139.91586805219615,141.231788943126,139.05809657469072,140.9198760986328,104911600,0.0,0.0
2021-07-08 00:00:00-04:00,138.00539740279086,140.422778328839,137.11836946520646,139.6234893798828,105575500,0.0,0.0
2021-07-09 00:00:00-04:00,139.1458132863032,141.97258743167365,139.04833216120844,141.44622802734375,99890800,0.0,0.0
2021-07-12 00:00:00-04:00,142.51848639937432,142.62570970674338,140.364278087154,140.85165405273438,76299700,0.0,0.0
2021-07-13 00:00:00-04:00,140.39350901995923,143.7369156295679,140.00361422588887,141.96286010742188,100827100,0.0,0.0
2021-07-14 00:00:00-04:00,144.3607540301203,145.79364043052715,143.95134516697595,145.3842315673828,127050800,0.0,0.0
2021-07-15 00:00:00-04:00,145.47196100861444,146.21276700697837,143.37623575739534,144.73114013671875,106820300,0.0,0.0
2021-07-16 00:00:00-04:00,144.71169838540143,145.9788641734468,142.196836268165,142.69395446777344,93251400,0.0,0.0
2021-07-19 00:00:00-04:00,140.12058929133983,140.43251704679776,138.0931035014654,138.85340881347656,121434600,0.0,0.0
2021-07-20 00:00:00-04:00,139.83792120496685,143.38601770583355,139.35054523026795,142.45999145507812,96350000,0.0,0.0
2021-07-21 00:00:00-04:00,141.85565012536404,142.4405072449087,140.97837931958148,141.7289276123047,74993500,0.0,0.0
2021-07-22 00:00:00-04:00,142.25527975346566,144.45821346206498,142.1285572602189,143.09356689453125,77338200,0.0,0.0
2021-07-23 00:00:00-04:00,143.8246641352954,144.96512221870486,143.21056560056124,144.8091583251953,71447400,0.0,0.0
2021-07-26 00:00:00-04:00,144.52647939059113,146.04709009069717,143.97086362595675,145.22830200195312,72434100,0.0,0.0
2021-07-27 00:00:00-04:00,145.35501995009983,145.44275893789174,141.87516288945258,143.06436157226562,104818600,0.0,0.0
2021-07-28 00:00:00-04:00,141.1538434950934,143.2593115153304,138.94115215326465,141.31954956054688,118931200,0.0,0.0
2021-07-29 00:00:00-04:00,141.03684881635502,142.8498878684949,140.92962551695572,141.96286010742188,56699500,0.0,0.0
