date,equity_value,sigma_E,default_point,asset_value,sigma_A,distance_to_default,pd_1yr
2022-07-29 04:00:00,2027411050048.8281,0.30027088421359577,118598000000.0,2140790439399.27,0.2843680994919824,10.190166119829941,1.0969450220052799e-24
2022-08-30 04:00:00,1903112945068.3596,0.3053442804265407,118598000000.0,2016492334418.8015,0.28817597908192416,9.844167100395172,3.631918479860072e-23
2022-10-28 04:00:00,1706990354370.1172,0.33366729667297396,118598000000.0,1820369743720.559,0.3128852580385184,8.715996135644795,1.441065735961554e-18
2022-11-29 05:00:00,1744168901000.9768,0.3486980901431613,118598000000.0,1857548290351.4187,0.3274145645769875,8.376759310421212,2.72024739550389e-17
2022-12-30 05:00:00,1740467879516.6013,0.35259228148737715,118598000000.0,1853847268867.0432,0.33102810075033656,8.275699049454726,6.385208532212932e-17
2023-01-30 05:00:00,1761441587402.3435,0.35408103748320163,118598000000.0,1874820976752.7854,0.3326680640269579,8.26708394566934,6.863765273754311e-17
2023-02-27 05:00:00,1820056127929.6875,0.3524210022644611,118598000000.0,1933435517280.1294,0.33175453696272433,8.383558598130257,2.5675547265006292e-17
2023-03-30 04:00:00,2066625067382.8125,0.348276962693717,118598000000.0,2180004456733.2544,0.3301635000202451,8.78909573162486,7.538427767223097e-19
2023-04-28 04:00:00,2235491461669.922,0.34558479780770257,118598000000.0,2348870851020.364,0.32890350886956776,9.050866106238608,7.091939138416344e-20
2023-05-30 04:00:00,2415009226318.3594,0.3302321888724227,118598000000.0,2528388615668.8013,0.3154237358972019,9.684914071912965,1.747511524869449e-22
2023-06-29 04:00:00,2443007882080.078,0.32027239373799504,118598000000.0,2556387271430.52,0.3060678603194343,10.026442910034211,5.832162124441216e-24
2023-07-28 04:00:00,2456638437011.7183,0.31638777251909084,125144000000.0,2576275785878.2397,0.3016953259551588,10.023771573337251,5.992026317780207e-24
2023-08-30 04:00:00,2392139391357.422,0.3110623498628893,125144000000.0,2511776740223.9434,0.2962462739458599,10.128058674636174,2.0740142097153645e-24
2023-09-29 04:00:00,2297265946777.3438,0.30517647218061045,125144000000.0,2416903295643.865,0.2900701565353254,10.217207392548286,8.302792914823707e-25
2023-10-30 04:00:00,2454127687500.0,0.2837435830496358,125144000000.0,2573765036366.5215,0.2705542166722491,11.20684893209634,1.8869522583453764e-29
2023-11-29 05:00:00,2761949660156.25,0.2633844934523609,125144000000.0,2881587009022.7715,0.25244933083865995,12.47682475178843,4.994564421962247e-36
2023-12-29 05:00:00,2741464030761.7188,0.24999586244372546,125144000000.0,2861101379628.24,0.23954225096972273,13.132575132197548,1.0712250975569858e-39
2024-01-30 05:00:00,2978764787841.797,0.2370439403592142,125144000000.0,3098402136708.3184,0.22789105853878705,14.165582436518056,7.481062013390197e-46
2024-02-28 05:00:00,2977919252685.547,0.2254367488020957,125144000000.0,3097556601552.0684,0.21672967466816165,14.905286695898257,1.522513921274098e-50
2024-03-28 04:00:00,3072868677490.2344,0.2210113650424879,125144000000.0,3192506026356.756,0.2127290897500498,15.331563597274446,2.3526128904837803e-53
2024-04-29 04:00:00,2937967036132.8125,0.20723874785150825,125144000000.0,3057604384999.334,0.19912995048811838,16.17584676172625,3.7332068044400166e-59
2024-05-30 04:00:00,3034143711669.922,0.2090744467796667,125144000000.0,3153781060536.4434,0.20114329618667043,16.16590273330425,4.387157636914706e-59
2024-06-28 04:00:00,3270336745117.1875,0.20124882716548764,125144000000.0,3389974093983.709,0.19414644954339735,17.12761716775392,4.618039292668238e-66
