date,equity_value,sigma_E,default_point,asset_value,sigma_A,distance_to_default,pd_1yr
2023-01-30 05:00:00,382249488459.13696,0.176485135143234,69245000000.0,448447534088.67,0.1504330997520971,12.642335349698316,6.166771863664062e-37
2023-02-27 05:00:00,369860266596.0388,0.17671684638291277,69245000000.0,436058312225.57184,0.14988944845840826,12.501824735771796,3.6478591376167776e-36
2023-03-30 04:00:00,364631836305.954,0.16712411104135863,69245000000.0,430829881935.487,0.1414450901739815,13.171606079415449,6.392434496829903e-40
2023-04-28 04:00:00,389038914442.7948,0.16878310751245745,69245000000.0,455236960072.3278,0.14423959977347936,13.295687220427709,1.2260493590684035e-40
2023-05-30 04:00:00,369633826108.8867,0.163136813198062,69245000000.0,435831871738.41974,0.13835813383974394,13.552033948208612,3.85323844559893e-42
2023-06-29 04:00:00,392931991919.9524,0.15521787802364556,69245000000.0,459130037549.4854,0.13283833555944527,14.512825051849937,5.024746127468501e-48
2023-07-28 04:00:00,417786607067.5049,0.1644279322674851,69245000000.0,483984652697.0379,0.14193794688808017,13.945030977465688,1.686507770451589e-44
2023-08-30 04:00:00,394892389071.579,0.17106506308435263,69245000000.0,461090434701.112,0.1465055146759857,13.175007954716987,6.110727830970408e-40
2023-09-29 04:00:00,375645984552.10876,0.16649927070555018,69245000000.0,441844030181.6418,0.14155398330420435,13.339696965389361,6.800564357371855e-41
2023-10-30 04:00:00,354614616432.0831,0.16539713730997066,69245000000.0,420812662061.61615,0.1393785113755723,13.200195699123634,4.375371125082303e-40
2023-11-29 05:00:00,369804673422.5464,0.16221331204700487,69245000000.0,436002719052.0794,0.13758455685035975,13.631855399955292,1.2945645675895893e-42
2023-12-29 05:00:00,381061054764.67896,0.16464360950082846,69245000000.0,447259100394.212,0.14027499371472046,13.549446997413003,3.9914634049411764e-42
2024-01-30 05:00:00,355495919790.52734,0.16350539908749534,59222500000.0,412112480658.3881,0.14104280983304726,14.003182802302456,7.452171189535156e-45
2024-02-28 05:00:00,364466964627.2888,0.15760524967632647,59222500000.0,421083525495.1496,0.13641451987776324,14.640855062771967,7.705887579004726e-49
2024-03-28 04:00:00,356886630260.9863,0.15575987804948258,59222500000.0,413503191128.8471,0.13443334706846474,14.72348621309671,2.277784012566391e-49
2024-04-29 04:00:00,331235140179.718,0.14959458446876334,59222500000.0,387851701047.5788,0.12775755017394894,14.998413143440338,3.7597834478644123e-51
2024-05-30 04:00:00,330410204695.7092,0.16142424143517242,59222500000.0,387026765563.57,0.13781015010106418,13.879213504324035,4.233393839424052e-44
2024-06-28 04:00:00,332411646565.4602,0.16122867568136462,59222500000.0,389028207433.321,0.137764533606466,13.921295509481725,2.35150733626836e-44
2024-07-30 04:00:00,366912791822.99805,0.15920415373515528,59222500000.0,423529352690.8588,0.13792205934642976,14.521317666523979,4.4393477087608434e-48
2024-08-30 04:00:00,380078446277.5574,0.15335853647209427,59222500000.0,436695007145.41815,0.13347593471867628,15.238893675801517,9.757336106882453e-53
2024-09-27 04:00:00,369858024529.6631,0.1524451558333691,59222500000.0,426474585397.52386,0.1322073251635639,15.207265166690936,1.5824554921158796e-52
2024-10-30 04:00:00,368047757601.7761,0.1501647389664773,59222500000.0,424664318469.6369,0.1301446649594593,15.417678968312343,6.224951945303003e-54
2024-11-29 05:00:00,358065156746.97876,0.1507086962683852,59222500000.0,414681717614.83954,0.13013241399418052,15.236346270527717,1.0145209112959008e-52
2024-12-30 05:00:00,331108020780.3345,0.15059577163016263,59222500000.0,387724581648.19525,0.12860538186767426,14.896142052999133,1.7458348644336095e-50
2025-01-30 05:00:00,353098975819.3054,0.16157098121164584,65646500000.0,415856864510.46204,0.1371879433927611,13.715830463034326,4.081319562645154e-43
2025-02-27 05:00:00,381210595168.8843,0.1643375704652404,65646500000.0,443968483860.0409,0.1411073653268866,13.794557375000574,1.374172774775002e-43
2025-03-28 04:00:00,381164099147.583,0.1657535688453156,65646500000.0,443921987838.7396,0.14232074887079554,13.675005052229068,7.159866962534488e-43
2025-04-29 04:00:00,363003436344.20776,0.19131477106002984,65646500000.0,425761325035.3643,0.16311467302115285,11.656164338824116,1.0672136715407088e-31
2025-05-30 04:00:00,364471660233.27637,0.18907315031119254,65646500000.0,427229548924.433,0.16129924808090712,11.810522781291823,1.7220655544066084e-32
2025-06-27 04:00:00,357896549884.5215,0.1899166225184568,65646500000.0,420654438575.67804,0.16158275708494266,11.693530545821721,6.877369820112656e-32
2025-07-30 04:00:00,392768051686.4624,0.19504948410050904,65646500000.0,455525940377.619,0.16817748247026187,11.702081136544573,6.218274714585578e-32
2025-08-29 04:00:00,419092916347.0154,0.19235110806712252,65646500000.0,481850805038.17194,0.1672986451398461,12.100252376165503,5.264349331356959e-34
2025-09-29 04:00:00,429619343791.93115,0.19263908813722824,65646500000.0,492377232483.08777,0.16808551081214887,12.171391155196467,2.207465753709783e-34
2025-10-30 04:00:00,447194876570.5261,0.1930178609923066,65646500000.0,509952765261.68274,0.16926390913493347,12.29268952346282,4.957569035894588e-35
2025-12-30 05:00:00,492550019194.3054,0.19600369266388704,65646500000.0,555307907885.462,0.17385241811406907,12.453816601642446,6.665712976750098e-36
2026-01-30 05:00:00,541198031845.2453,0.19053632598226108,73845000000.0,611793665891.2106,0.16855010171837945,12.727504678343356,2.0796011331126496e-37
2026-02-27 05:00:00,594783639700.1649,0.19045966966595357,73845000000.0,665379273746.1301,0.17025221555552822,13.091729801778458,1.835749775876989e-39
2026-03-30 04:00:00,580562301114.914,0.19197001109753054,73845000000.0,651157935160.8792,0.17115748018996685,12.895355031391574,2.390282087934271e-38
