date,equity_value,sigma_E,default_point,asset_value,sigma_A,distance_to_default,pd_1yr
2023-01-30 05:00:00,10384253702.38004,0.5676142363373717,37418000000.0,46102969837.08779,0.1307873374079311,1.8745915203959091,0.03042447031798221
2023-02-27 05:00:00,10169541739.890121,0.551341815649773,37418000000.0,45898333442.341354,0.12459570613676868,1.9383885560182312,0.026287917781703588
2023-03-30 04:00:00,9414796584.410282,0.5143943571970446,37418000000.0,45161263512.80847,0.10875763686908121,2.088807187808209,0.018362541562981827
2023-04-28 04:00:00,8874763391.42036,0.5101310104897627,37418000000.0,44623101681.21722,0.10288508893762,2.0975552360485374,0.017972226466664073
2023-05-30 04:00:00,9512392705.359879,0.47446412175436936,37418000000.0,45270852510.731705,0.10053566858729139,2.292298980146052,0.010944198322048198
2023-06-29 04:00:00,11451307561.800402,0.43163205872818805,37418000000.0,47217314056.60781,0.10505046460979837,2.5900977920621173,0.004797433542490943
2023-07-28 04:00:00,10924287515.870964,0.40776208915499873,37418000000.0,46692691333.68966,0.09562022846721552,2.7385854230307407,0.0030852064096920677
2023-08-30 04:00:00,9609989446.810482,0.39537688712010016,37418000000.0,45379223662.76828,0.08389733633973806,2.7936896255585824,0.0026055233481250195
2023-09-29 04:00:00,8334730198.430442,0.37649807487654025,37418000000.0,44104905646.576195,0.07125325313982668,2.9034552276070933,0.0018453486874319227
2023-10-30 04:00:00,7274182912.54032,0.3681338579368545,37418000000.0,43044663048.707436,0.06229496463492156,2.939981584311747,0.0016411587726149412
2023-11-29 05:00:00,7957357000.189518,0.3616798427455578,37418000000.0,43728032561.087074,0.06588415825582025,3.015400755734464,0.0012831995584263777
2023-12-29 05:00:00,8939827265.219759,0.3518748192358398,37418000000.0,44710754943.94271,0.07040446975046993,3.133093814785301,0.0008648707282906729
2024-01-30 05:00:00,9506589305.050209,0.37341511062503735,36509500000.0,44408416309.95197,0.08002932902596574,2.9695883178044014,0.0014909954027338941
2024-02-28 05:00:00,10115063573.278542,0.3713597052031969,36509500000.0,45016982029.37166,0.08352651374929392,3.00478190457677,0.0013288567230541472
2024-03-28 04:00:00,10043093746.785418,0.36740035469893506,36509500000.0,44945140637.93631,0.0821711404690273,3.036274035502863,0.0011976078268855982
2024-04-29 04:00:00,9146738924.657501,0.36713932699171975,36509500000.0,44048770868.60742,0.07631353317840292,3.011432716535204,0.0013000901018157117
2024-05-30 04:00:00,7484885041.936043,0.3912241976666559,36509500000.0,42385884719.39686,0.06924216903533652,2.770647746037176,0.0027972456461319356
2024-06-28 04:00:00,7412915215.442918,0.3856836555887719,36509500000.0,42314199657.735664,0.06770243191238687,2.8102152805454046,0.0024754185913778482
2024-07-30 04:00:00,7039979695.671249,0.3885019077519287,36509500000.0,41941134128.652824,0.06535744080469529,2.777935707656121,0.0027352720660246683
2024-08-30 04:00:00,6948381224.164375,0.40392360143007844,36509500000.0,41848624902.67783,0.06727816908459183,2.663914080292347,0.0038618643715834407
2024-09-27 04:00:00,7563398374.063957,0.4095034139955961,36509500000.0,42463193634.45295,0.07318129373988087,2.6425799151950597,0.00411385231621189
2024-10-30 04:00:00,9120568021.936043,0.4117373860639535,36509500000.0,44020147566.281,0.08555908832099418,2.6696725425391943,0.003796262621394972
2024-11-29 05:00:00,9500047047.342499,0.41679260334207546,36509500000.0,44399183290.85229,0.0894599222298825,2.6452855030700775,0.004081100850835561
2024-12-30 05:00:00,11528294192.127914,0.4396802338177557,36509500000.0,46424883102.2876,0.10961381386292399,2.5476304912061747,0.005422864102009318
2025-01-30 05:00:00,11112867954.558414,0.4189402639384898,36603500000.0,46101721934.70916,0.10126704066574214,2.671934804018986,0.0037707649561035585
2025-02-27 05:00:00,9554436216.39089,0.41989573573680605,36603500000.0,44543128796.39063,0.09036594203212948,2.6252262182522776,0.004329570775387898
2025-03-28 04:00:00,7035957850.779207,0.44456132197054815,36603500000.0,42021955229.73908,0.07492677158287075,2.4055667508105674,0.00807370086930195
2025-04-29 04:00:00,6509904792.5584135,0.5228962076602804,36603500000.0,41477964280.05416,0.08366034879449834,1.9904162029136059,0.02327255324193762
2025-05-30 04:00:00,7502829853.723366,0.5281916592524881,36603500000.0,42467463220.06948,0.09508557377183166,1.988458464498115,0.023380504164502006
2025-06-27 04:00:00,7417346176.89089,0.5218916421623097,36603500000.0,42384483943.45748,0.09296005888635207,2.0150342227992253,0.021950531687620824
2025-07-30 04:00:00,7568586721.164951,0.5411017254902364,36603500000.0,42527692757.7354,0.09837484960642556,1.9331443862675353,0.02660920674461516
2025-08-29 04:00:00,8791659564.167524,0.5499313730772392,36603500000.0,43744721648.21185,0.11289247613991289,1.920896281700979,0.02737239231875382
2025-09-29 04:00:00,7483103044.332476,0.5513959549961175,36603500000.0,42437523028.934845,0.09956412487265259,1.8875531370673064,0.029542983199733978
2025-10-30 04:00:00,8403695425.89089,0.552275734157245,36603500000.0,43356083013.276085,0.1094650152346869,1.9029993935855887,0.028520312180554248
2025-11-28 05:00:00,9238804757.720793,0.5587858270130547,36603500000.0,44186460326.31003,0.11947482185651778,1.8927622607297312,0.029194746218072398
2025-12-30 05:00:00,10080489274.611685,0.5413011662646502,36603500000.0,45036701506.070175,0.12331937569085381,1.984522274380493,0.023598823740445005
2026-01-30 05:00:00,8782004489.942436,0.5386836132902671,36811500000.0,43939311400.36773,0.1097342773593874,1.9681935170896332,0.024522887956859005
2026-02-27 05:00:00,8630134914.092104,0.5573841953169995,36811500000.0,43778115180.76768,0.11245126255559636,1.885270958340659,0.029696632488971086
2026-03-30 04:00:00,6721865195.907897,0.5452678453387649,36811500000.0,41879445505.623215,0.08962572328963495,1.8964250229260031,0.028951932824497283
2026-04-29 04:00:00,7468005491.87336,0.47645003890678106,36811500000.0,42647030997.97642,0.08428505468359637,2.2375897775299056,0.012623909397469527
2026-05-29 04:00:00,9666808037.896385,0.4831280992403132,36811500000.0,44843495601.13643,0.10511146296995945,2.253265623929171,0.012121202932091776
2026-06-29 04:00:00,11832595403.976974,0.49005667675929393,36811500000.0,47007208598.45781,0.12440684510596643,2.264763938295724,0.01176358474309318
