date,pd_gbm,pd_regime_jump,regime,lambda,lambda_source
2023-01-30 05:00:00,6.166771863664062e-37,0.0,high_vol,1.0980392156862746,regime
2023-02-27 05:00:00,3.6478591376167776e-36,0.0,high_vol,1.0792291220556747,regime
2023-03-30 04:00:00,6.392434496829903e-40,0.0,high_vol,1.0349075975359343,regime
2023-04-28 04:00:00,1.2260493590684035e-40,0.0,high_vol,1.5523613963039016,regime
2023-05-30 04:00:00,3.8532384455989294e-42,0.0,high_vol,1.539714867617108,regime
2023-06-29 04:00:00,5.024746127468501e-48,0.0,low_vol,1.6085106382978722,regime
2023-07-28 04:00:00,1.6865077704515892e-44,0.0,low_vol,2.0,pooled_fallback
2023-08-30 04:00:00,6.110727830970408e-40,0.0,low_vol,3.0179640718562877,regime
2023-09-29 04:00:00,6.800564357371854e-41,0.0,low_vol,3.030060120240481,regime
2023-10-30 04:00:00,4.375371125082303e-40,0.0,low_vol,3.0,pooled_fallback
2023-11-29 05:00:00,1.2945645675895893e-42,0.0,low_vol,3.024,regime
2023-12-29 05:00:00,3.9914634049411764e-42,0.0,low_vol,2.52,regime
2024-01-30 05:00:00,7.452171189535157e-45,0.0,low_vol,2.52,regime
2024-02-28 05:00:00,7.705887579004726e-49,0.0,low_vol,2.52,regime
2024-03-28 04:00:00,2.277784012566391e-49,0.0,low_vol,3.4878892733564015,regime
2024-04-29 04:00:00,3.7597834478644123e-51,0.0,low_vol,2.647058823529412,regime
2024-05-30 04:00:00,4.233393839424052e-44,0.0,low_vol,3.6878048780487807,regime
2024-06-28 04:00:00,2.35150733626836e-44,0.0,high_vol,3.036144578313253,regime
2024-07-30 04:00:00,4.439347708760843e-48,0.0,high_vol,3.585365853658536,regime
2024-08-30 04:00:00,9.757336106882452e-53,0.0,high_vol,3.5926680244399187,regime
2024-09-27 04:00:00,1.5824554921158796e-52,0.0,high_vol,3.6147540983606556,regime
2024-10-30 04:00:00,6.224951945303002e-54,0.0,high_vol,3.57085020242915,regime
2024-11-29 05:00:00,1.0145209112959008e-52,0.0,high_vol,3.0545454545454547,regime
2024-12-30 05:00:00,1.7458348644336097e-50,0.0,high_vol,3.073170731707317,regime
2025-01-30 05:00:00,4.081319562645154e-43,0.0,high_vol,3.136929460580913,regime
2025-02-27 05:00:00,1.3741727747750021e-43,0.0,high_vol,3.0483870967741935,regime
2025-03-28 04:00:00,7.1598669625344884e-43,0.0,high_vol,3.1239669421487606,regime
2025-04-29 04:00:00,1.0672136715407088e-31,0.0,high_vol,3.0483870967741935,regime
2025-05-30 04:00:00,1.7220655544066084e-32,0.0,high_vol,2.032258064516129,regime
2025-06-27 04:00:00,6.877369820112656e-32,0.0,high_vol,2.032258064516129,regime
2025-07-30 04:00:00,6.218274714585577e-32,0.0,high_vol,2.540322580645161,regime
2025-08-29 04:00:00,5.264349331356959e-34,0.0,high_vol,2.540322580645161,regime
2025-09-29 04:00:00,2.207465753709783e-34,0.0,high_vol,2.540322580645161,regime
2025-10-30 04:00:00,4.957569035894587e-35,0.0,high_vol,2.540322580645161,regime
2025-12-30 05:00:00,6.665712976750098e-36,0.0,high_vol,3.0483870967741935,regime
2026-01-30 05:00:00,2.0796011331126496e-37,0.0,high_vol,3.0483870967741935,regime
2026-02-27 05:00:00,1.835749775876989e-39,0.0,high_vol,2.540322580645161,regime
2026-03-30 04:00:00,2.390282087934271e-38,0.0,high_vol,2.540322580645161,regime
2026-04-29 04:00:00,2.8655440610399537e-48,0.0,high_vol,2.032258064516129,regime
2026-05-29 04:00:00,5.43054427602663e-49,0.0,low_vol,2.0240963855421685,regime
2026-06-29 04:00:00,3.1540506163289507e-46,0.0,low_vol,2.0240963855421685,regime
