date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive,ticker
2022-10-28 04:00:00,1.4669262463853163e-16,0.0,0.0,0.0,0.0,1,0.3126426038525511,AAPL
2022-11-29 05:00:00,1.8880270316732023e-14,0.0,0.0,0.0,0.0,2,0.3254271947748584,AAPL
2022-12-30 05:00:00,9.660681547121573e-14,0.0,0.0,0.0,0.0,2,0.3246440295169996,AAPL
2023-03-30 04:00:00,3.7787202701251004e-16,0.0,0.0,0.0,0.0,2,0.3218897656486076,AAPL
2023-04-28 04:00:00,6.291895057959585e-17,0.0,0.0,0.0,0.0,2,0.3185647269125951,AAPL
2023-05-30 04:00:00,2.5702202074952324e-20,0.0,0.0,0.0,0.0,3,0.2932995866771988,AAPL
2023-06-29 04:00:00,9.048579827874944e-24,0.0,0.0,0.0,0.0,3,0.275935207493097,AAPL
2023-07-28 04:00:00,3.667751382442125e-25,0.0,0.0,0.0,0.0,3,0.2706385428253282,AAPL
2023-08-30 04:00:00,9.241715177852131e-25,0.0,2.0,0.03733375922996844,0.0599012057944082,4,0.2500533464630141,AAPL
2023-09-29 04:00:00,8.33301504455439e-25,0.0,2.0,0.03733375922996844,0.0599012057944082,4,0.24094111680277996,AAPL
2023-10-30 04:00:00,1.2045953844814466e-28,0.0,2.0,0.03733375922996844,0.0599012057944082,4,0.22224342848370937,AAPL
2023-11-29 05:00:00,7.516918732015023e-41,0.0,0.0,0.0,0.0,3,0.2099035752032382,AAPL
2023-12-29 05:00:00,3.5491558529604635e-49,0.0,0.0,0.0,0.0,3,0.1917651871276175,AAPL
2024-01-30 05:00:00,7.497258948957796e-50,0.0,2.0,0.011360331773708954,0.0648124630361955,4,0.16443669914895406,AAPL
2024-02-28 05:00:00,7.723821069159324e-54,0.0,2.0,0.011360331773708954,0.0648124630361955,4,0.15352136465765434,AAPL
2024-03-28 04:00:00,1.086820661784186e-50,0.0,2.5,0.0007451290813068598,0.06094180965985141,5,0.15402401081157044,AAPL
2024-04-29 04:00:00,4.940558556799274e-50,0.0,3.0,0.007681059535941199,0.0570943615370484,6,0.1541683670844608,AAPL
2024-05-30 04:00:00,1.1414092016950779e-49,0.0,3.5,0.014883117420891942,0.055493776502864973,7,0.15732889280445828,AAPL
2024-06-28 04:00:00,3.969527121855029e-45,0.0,4.0,0.021789167771927635,0.05496517487666664,8,0.16938400393882036,AAPL
2024-08-30 04:00:00,2.4202931726816386e-45,0.0,3.5,0.012725254494889381,0.052515933782856614,7,0.18600501142145,AAPL
2024-09-27 04:00:00,4.666040889881712e-46,0.0,3.5,0.012725254494889381,0.052515933782856614,7,0.18366697709187962,AAPL
2024-10-30 04:00:00,3.0918148802193016e-41,0.0,3.5,0.012725254494889381,0.052515933782856614,7,0.18614331931426262,AAPL
2024-11-29 05:00:00,6.026111608914936e-42,0.0,3.5,0.012725254494889381,0.052515933782856614,7,0.18652727221813262,AAPL
2024-12-30 05:00:00,8.079422589282583e-43,0.0,3.5,0.012725254494889381,0.052515933782856614,7,0.18867938227983358,AAPL
2025-01-30 05:00:00,5.1332269695622996e-39,0.0,4.0,0.005979714424569408,0.05222980705301832,8,0.19364636237099772,AAPL
2025-02-27 05:00:00,2.9495796529546945e-37,0.0,3.5,0.0002826453825365144,0.053662680787902685,7,0.20212044067278384,AAPL
2025-03-28 04:00:00,1.086343182170194e-33,0.0,3.5,0.0002826453825365144,0.053662680787902685,7,0.20833459796334788,AAPL
2025-04-29 04:00:00,9.830079922229673e-20,0.0,5.0,-0.0028097551379169168,0.07650601222665247,10,0.25059465112190327,AAPL
2025-05-30 04:00:00,8.549319572445835e-19,0.0,4.5,0.002345987210652855,0.07928286230058411,9,0.256138986421726,AAPL
2025-06-27 04:00:00,9.098920165033369e-20,0.0,4.5,0.002345987210652855,0.07928286230058411,9,0.24644255789833522,AAPL
2025-07-30 04:00:00,7.562355280476207e-21,0.0,4.5,0.002345987210652855,0.07928286230058411,9,0.24090094484433255,AAPL
2025-08-29 04:00:00,1.9395524239451728e-21,0.0,5.0,0.007076727842606168,0.0762309135747728,10,0.2460433535513342,AAPL
2025-09-29 04:00:00,7.526195542367794e-22,0.0,5.0,0.007076727842606168,0.0762309135747728,10,0.2530858831154303,AAPL
2025-10-30 04:00:00,6.602171401684581e-23,0.0,4.5,0.011912252609575123,0.07921171210790344,9,0.2573033148240528,AAPL
2025-11-28 05:00:00,2.4383470991429317e-23,0.0,4.5,0.011912252609575123,0.07921171210790344,9,0.2568138492023353,AAPL
2025-12-30 05:00:00,2.9641979548729184e-23,0.0,4.0,0.0186157443968097,0.08190631662919486,8,0.2564477267845779,AAPL
2026-01-30 05:00:00,1.2720575976120785e-23,0.0,4.0,0.008924803995292772,0.08327059003235704,8,0.24804087442840078,AAPL
2026-02-27 05:00:00,6.638549752435632e-23,0.0,4.5,0.00020092839398721006,0.07906575176459539,9,0.2559378314773791,AAPL
