date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2022-10-28 04:00:00,0.0029310849462533,0.00151,2.0,0.06764228152414167,0.14043398144227803,4,0.15487372167403585
2022-11-29 05:00:00,0.0027927525003378,0.00139,2.0,0.06764316945891263,0.14043582490781967,4,0.11888136382836165
2022-12-30 05:00:00,0.0023368684988668,0.00115,2.0,0.06762611189302269,0.14040041123108282,4,0.13793797971601915
2023-01-30 05:00:00,0.0013962611836574,0.00078,2.0,0.06759451517794685,0.1403348124310628,4,0.17292908065783802
2023-02-27 05:00:00,0.0014145581469567,0.00105,2.0,0.04846184738353746,0.1236221762674942,4,0.22603465548216725
2023-03-30 04:00:00,0.0012651193507923,0.00151,0.0,0.0,0.0,3,0.2789059987249731
2023-04-28 04:00:00,0.0015313340372682,0.00175,0.0,0.0,0.0,3,0.2712365295826958
2023-05-30 04:00:00,0.0022164436737019,0.00551,2.0,-0.018402370182580327,0.13822280134796888,4,0.13919401020294572
2023-06-29 04:00:00,0.001267006831431,0.00375,2.0,-0.01839398671464827,0.13815983193636142,4,0.13941163777645557
2023-07-28 04:00:00,0.0008842468822221,0.00332,2.0,-0.01839098095500034,0.1381372552511522,4,0.12151358758240202
2023-08-30 04:00:00,0.001418319596241,0.00661,2.0,-0.06207677963990583,0.11566875706429842,4,0.11144122109095177
2023-09-29 04:00:00,0.0022265563281399,0.011,2.0,-0.06210799051762623,0.11572691284257408,4,0.0596689147211637
2023-10-30 04:00:00,0.0022102934581828,0.00933,2.0,-0.06210437887626562,0.1157201832076032,4,0.09330911881657872
2023-11-29 05:00:00,0.0019951735820883,0.00721,2.0,-0.062093198087537056,0.11569934984700149,4,0.13081266262050734
2023-12-29 05:00:00,0.0011964774611659,0.00365,2.0,-0.0620640169897418,0.11564497619341751,4,0.1911998845746745
2024-01-30 05:00:00,0.0013329666068324,0.00418,2.0,-0.06206871807318654,0.11565373580501564,4,0.17883466013934649
2024-02-28 05:00:00,0.0012849521671618,0.00411,2.0,-0.06206741320951592,0.11565130442955135,4,0.17855465141286386
2024-03-28 04:00:00,0.0017204659889184,0.00192,0.0,0.0,0.0,3,0.2639639347924016
2024-04-29 04:00:00,0.002630232494117,0.00282,0.0,0.0,0.0,3,0.2538483715974143
2024-05-30 04:00:00,0.0017659399133995,0.00197,0.0,0.0,0.0,3,0.2536378278487248
2024-06-28 04:00:00,0.0021073353666172,0.00231,0.0,0.0,0.0,3,0.2442085560613276
2024-07-30 04:00:00,0.0031188931014025,0.00458,2.0,-0.00137691706713544,0.12719916014763608,4,0.19290257529780594
2024-08-30 04:00:00,0.0032498661227075,0.0041,2.0,-0.0013768342300535274,0.12719150768439055,4,0.22890180923806208
2024-09-27 04:00:00,0.0029183601543916,0.00363,2.0,-0.0013766271621562182,0.12717237881798318,4,0.23126977917794306
2024-10-30 04:00:00,0.0024187109353369,0.00322,2.0,-0.0013763685728997016,0.12714849042482051,4,0.22174096183814337
2024-11-29 05:00:00,0.0019615524616491,0.00227,2.5,0.013260920247235772,0.11428979256720254,5,0.2197957167270826
2024-12-30 05:00:00,0.0034073511027323,0.00423,2.5,0.013272007697666488,0.1143853502197787,5,0.16011263426666503
2025-01-30 05:00:00,0.0023078275527704,0.00288,2.5,0.013264256514242507,0.11431854632312893,5,0.17610380933397182
2025-02-27 05:00:00,0.003575402432966,0.00214,2.0,0.051640951911156925,0.08739796739227187,4,0.17341187902975053
2025-03-28 04:00:00,0.0031019051621936,0.00178,2.0,0.051629279244387656,0.08737821238559738,4,0.1669056498930755
2025-04-29 04:00:00,0.0040940617078511,0.0023,2.0,0.05166000775270423,0.0874302178012312,4,0.1551813288496821
2025-05-30 04:00:00,0.0069492149590178,0.00186,2.0,0.1216220848721072,0.05369593165141079,4,0.14913781940952825
2025-06-27 04:00:00,0.0064497708701311,0.00184,2.0,0.12158532013225763,0.053679700084913476,4,0.15469253312686695
2025-07-30 04:00:00,0.0047332951492068,0.00148,2.0,0.12146742080681404,0.05362764774485185,4,0.17000652046864956
2025-08-29 04:00:00,0.0027950404360175,0.00072,2.5,0.12841628721821277,0.04902116439963299,5,0.19935991245747392
2025-09-29 04:00:00,0.0021359577207566,0.00074,2.5,0.12837295081221395,0.04900462131830759,5,0.2322856164551841
2025-10-30 04:00:00,0.0028773325059516,0.00097,2.5,0.12841349092507592,0.049020096952905316,5,0.22166593874297602
2025-11-28 05:00:00,0.0022919734607995,0.00083,2.5,0.128379759345418,0.04900722038290247,5,0.23573728478733508
2025-12-30 05:00:00,0.0027648357915256,0.00088,2.5,0.12840858562092883,0.04901822442001845,5,0.2187125589634637
2026-01-30 05:00:00,0.0022736772080273,0.00075,2.5,0.1283817879115624,0.04900799476033243,5,0.22437554111619426
2026-02-27 05:00:00,0.0021537739921882,0.00079,2.5,0.12837279694701523,0.04900456258236866,5,0.23651563523910712
2026-03-30 04:00:00,0.0030092159939004,0.00085,2.5,0.12842691466365938,0.049025221281837505,5,0.20245496347953448
2026-04-29 04:00:00,0.002393436866159,0.00094,2.0,0.13377570727636723,0.05486213401659728,4,0.2160473456537085
2026-05-29 04:00:00,0.001202182512108,0.00025,2.0,0.13371769743618506,0.05483834387045527,4,0.1757421401600399
2026-06-29 04:00:00,0.0013199844987692,0.00035,2.0,0.13372079191262595,0.05483961293181677,4,0.1979290705843857
