date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2023-01-30 05:00:00,0.6814757876352896,0.65046,3.0,-0.38987041755982216,0.45304855372822583,6,0.05
2023-02-27 05:00:00,0.713708445234612,0.67609,3.0,-0.4110106918111292,0.4776145896304064,6,0.05
2023-03-30 04:00:00,0.707671143447778,0.67262,3.0,-0.4112792055301529,0.477926615746215,6,0.05
2023-04-28 04:00:00,0.7154297546092032,0.68529,3.0,-0.44734547686359444,0.5198373925839531,6,0.05
2023-05-30 04:00:00,0.67541614946896,0.62276,3.0,-0.353330754213698,0.4105876721453401,6,0.05
2023-06-29 04:00:00,0.6569505324149758,0.62759,3.5,-0.1680260496813626,0.46366726820807996,7,0.4718337244181454
2023-07-28 04:00:00,0.6182300335948637,0.60108,3.5,-0.1502203706658813,0.41453256223032053,7,0.9125779395171238
2023-08-30 04:00:00,0.5834421246579371,0.5657,3.5,-0.14711253495756502,0.4059565009847745,7,0.9000669936485071
2023-09-29 04:00:00,0.5948920120544796,0.56162,2.0,-0.23300658706009789,0.5623382832108819,4,0.7564872142539834
2023-10-30 04:00:00,0.6190362412565762,0.62157,0.0,0.0,0.0,3,0.978295567497626
2023-11-29 05:00:00,0.533317684374175,0.53743,0.0,0.0,0.0,3,0.8748533238076601
2023-12-29 05:00:00,0.4098446131724232,0.41153,0.0,0.0,0.0,3,0.8940194626298762
2024-01-30 05:00:00,0.3306289701854238,0.3317,0.0,0.0,0.0,3,0.8625414849883902
2024-02-28 05:00:00,0.2263380675977774,0.20386,2.0,-0.08690599892244719,0.5441236311032833,4,0.4876369906876235
2024-03-28 04:00:00,0.1967880201869389,0.17848,2.0,-0.08599108998504928,0.5383953317992267,4,0.5194854482415795
2024-04-29 04:00:00,0.1926782361642229,0.17348,2.0,-0.08607859883362567,0.5389432299078895,4,0.4685230079938171
2024-05-30 04:00:00,0.1472876429559175,0.14252,2.5,-0.008249930590709583,0.49167812738539884,5,0.4489545833428081
2024-06-28 04:00:00,0.0574222368302605,0.06088,2.5,-0.008112117750637575,0.4834647783891572,5,0.1413030565379956
2024-07-30 04:00:00,0.0281939109981427,0.05844,2.5,-0.008076281641918545,0.4813290233504913,5,0.05
2024-08-30 04:00:00,0.018997252528351,0.01809,2.0,0.11367111386630925,0.4570343004576532,4,0.15982319580773785
2024-09-27 04:00:00,0.0129262682423069,0.01323,0.0,0.0,0.0,3,0.682584593653147
2024-10-30 04:00:00,0.0067045315346168,0.00706,0.0,0.0,0.0,3,0.6830267482178143
2024-11-29 05:00:00,0.003006848314107,0.00146,2.0,0.2977216532651384,0.11074473052837996,4,0.5185841891126453
2024-12-30 05:00:00,0.0029834630724828,0.00072,2.5,0.2211804882787764,0.1962307484336104,5,0.42443775165604103
2025-01-30 05:00:00,0.0009366697891836,0.00022,3.0,0.16442051351678016,0.2237773685224779,6,0.4476662032510476
2025-02-27 05:00:00,0.0004510284397668,0.00023,3.5,0.1225013875574173,0.23243016664637797,7,0.34775843204660084
2025-03-28 04:00:00,0.0009140415499822,0.00103,3.5,0.0383166717063025,0.20080195124826977,7,0.48036665983942217
2025-04-29 04:00:00,0.0020382267694045,0.00223,4.5,0.03027406342195011,0.20673366030279847,9,0.5426180138608209
2025-05-30 04:00:00,0.0002864783076142,0.00031,4.5,0.030269309739814013,0.20670119865091466,9,0.5004630887716053
2025-06-27 04:00:00,0.0002966271776308,0.00031,4.5,0.030269344994684397,0.2067014393972029,9,0.49518505088193826
2025-07-30 04:00:00,0.0001846569383848,0.00025,4.5,0.03026909510890987,0.2066997329926114,9,0.4812304491343696
2025-08-29 04:00:00,0.0001084835246234,0.00011,5.0,0.04290910809987731,0.19893436985699636,10,0.4734371416931316
2025-09-29 04:00:00,6.873820249798377e-05,8e-05,5.0,0.04290899541299465,0.19893384742026937,10,0.46579003779256106
2025-10-30 04:00:00,0.0004293425224651,0.0005,5.5,0.025498412815322336,0.19736766751123802,11,0.4820637305925054
2025-11-28 05:00:00,0.0001760247767382,0.00026,5.5,0.02549789035169201,0.19736362343881583,11,0.4911245787188793
2025-12-30 05:00:00,0.0001046008679359,0.00012,5.0,0.00021369952515213502,0.1883256164902731,10,0.5415379972537153
2026-01-30 05:00:00,0.0001120824027367,0.00026,5.5,-0.013693993560426073,0.18451983780354478,11,0.536150253451895
2026-02-27 05:00:00,0.0002286484381355,0.00025,5.0,-0.044158856783363794,0.16275076513224349,10,0.5654352664166672
2026-03-30 04:00:00,0.0001453822570214,0.00022,5.0,-0.04415868821249626,0.16275014385171976,10,0.5057198767906593
2026-04-29 04:00:00,1.396745620429876e-06,0.0,5.0,-0.04415822850038831,0.1627484495484076,10,0.41191385677964787
2026-05-29 04:00:00,1.8775955016983303e-06,0.0,5.0,-0.04415823007398945,0.16274845534803214,10,0.4004337284645008
2026-06-29 04:00:00,1.0264193578715873e-05,4e-05,5.0,-0.04415825599823173,0.16274855089376347,10,0.4215167333417364
