date,pd_gbm,pd_jump_rolling,lambda,mu_J_asset,sigma_J_asset,n_jumps_in_window,sigma_diffusive
2022-07-29 04:00:00,1.09694502200528e-24,0.0,0.0,0.0,0.0,2,0.2843680994919824
2022-08-30 04:00:00,3.6319184798600724e-23,0.0,0.0,0.0,0.0,2,0.2881759790819241
2022-10-28 04:00:00,1.4410657359615542e-18,0.0,0.0,0.0,0.0,3,0.3128852580385184
2022-11-29 05:00:00,2.72024739550389e-17,0.0,0.0,0.0,0.0,3,0.3274145645769875
2022-12-30 05:00:00,6.385208532212932e-17,0.0,0.0,0.0,0.0,3,0.3310281007503365
2023-01-30 05:00:00,6.863765273754311e-17,0.0,0.0,0.0,0.0,3,0.3326680640269579
2023-02-27 05:00:00,2.567554726500629e-17,0.0,0.0,0.0,0.0,3,0.3317545369627243
2023-03-30 04:00:00,7.538427767223098e-19,0.0,0.0,0.0,0.0,3,0.3301635000202451
2023-04-28 04:00:00,7.091939138416344e-20,0.0,2.196078431372549,-0.0014969582662956588,0.06925869650033858,4,0.31247163127344185
2023-05-30 04:00:00,1.747511524869449e-22,0.0,2.1,-0.0014969582662956588,0.06925869650033858,4,0.2990221003954323
2023-06-29 04:00:00,5.8321621244412165e-24,0.0,2.0119760479041915,-0.0014969582662956588,0.06925869650033858,4,0.2898655656019882
2023-07-28 04:00:00,5.992026317780207e-24,0.0,0.0,0.0,0.0,3,0.3016953259551588
2023-08-30 04:00:00,2.0740142097153645e-24,0.0,0.0,0.0,0.0,2,0.2962462739458599
2023-09-29 04:00:00,8.302792914823707e-25,0.0,0.0,0.0,0.0,2,0.2900701565353254
2023-10-30 04:00:00,1.8869522583453764e-29,0.0,0.0,0.0,0.0,2,0.2705542166722491
2023-11-29 05:00:00,4.994564421962247e-36,0.0,0.0,0.0,0.0,2,0.2524493308386599
2023-12-29 05:00:00,1.0712250975569858e-39,0.0,0.0,0.0,0.0,2,0.2395422509697227
2024-01-30 05:00:00,7.481062013390197e-46,0.0,0.0,0.0,0.0,2,0.227891058538787
2024-02-28 05:00:00,1.522513921274098e-50,0.0,0.0,0.0,0.0,2,0.2167296746681616
2024-03-28 04:00:00,2.3526128904837803e-53,0.0,0.0,0.0,0.0,2,0.2127290897500498
2024-04-29 04:00:00,3.733206804440017e-59,0.0,0.0,0.0,0.0,2,0.1991299504881183
2024-05-30 04:00:00,4.3871576369147065e-59,0.0,0.0,0.0,0.0,2,0.2011432961866704
2024-06-28 04:00:00,4.6180392926682386e-66,0.0,0.0,0.0,0.0,2,0.1941464495433973
2024-07-30 04:00:00,9.830192822605678e-62,0.0,0.0,0.0,0.0,2,0.1887356028718695
2024-08-30 04:00:00,1.8965611810039762e-60,0.0,0.0,0.0,0.0,1,0.1900891933529994
2024-09-27 04:00:00,6.849977064814188e-62,0.0,0.0,0.0,0.0,1,0.1892783066558502
2024-10-30 04:00:00,8.63795772689112e-69,0.0,0.0,0.0,0.0,1,0.1798868081896441
2024-11-29 05:00:00,3.4384140191661074e-62,0.0,0.0,0.0,0.0,2,0.1883147900640042
2024-12-30 05:00:00,4.6081272813353076e-60,0.0,0.0,0.0,0.0,3,0.1918886479027318
2025-01-30 05:00:00,9.445602664882461e-51,0.0,2.0,-0.023647902102199324,0.06347771904719303,4,0.18433014674568415
2025-02-27 05:00:00,2.1863075855747625e-51,0.0,0.0,0.0,0.0,3,0.2030514366285029
2025-03-28 04:00:00,1.0038349993284266e-48,0.0,0.0,0.0,0.0,3,0.2063982361339529
2025-04-29 04:00:00,1.8203511251556795e-38,0.0,2.0,-0.01699962655452424,0.0765850173346104,4,0.2083760696132201
2025-05-30 04:00:00,5.938459830076402e-39,0.0,2.5,0.0010975115416112708,0.07769479195197015,5,0.21302492362687162
2025-06-27 04:00:00,2.6142200184964273e-41,0.0,2.5,0.0010975115416112708,0.07769479195197015,5,0.21058151694767274
2025-07-30 04:00:00,1.3950682219546977e-42,0.0,2.5,0.0010975115416112708,0.07769479195197015,5,0.20123641889606025
2025-08-29 04:00:00,4.6214116682901506e-42,0.0,3.0,0.007367166924199301,0.07116906651675595,6,0.20142611126784388
2025-09-29 04:00:00,7.977627719047317e-43,0.0,3.0,0.007367166924199301,0.07116906651675595,6,0.20011630923948454
2025-10-30 04:00:00,1.3351449289556619e-42,0.0,3.0,0.007367166924199301,0.07116906651675595,6,0.20261120724248838
2025-11-28 05:00:00,5.843027259394443e-43,0.0,3.0,0.007367166924199301,0.07116906651675595,6,0.19616538206774015
2025-12-30 05:00:00,3.017697035949801e-43,0.0,3.0,0.007367166924199301,0.07116906651675595,6,0.19447030926847836
2026-01-30 05:00:00,1.360995299014747e-34,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.20189824565715292
2026-02-27 05:00:00,8.417714270051848e-32,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.20689722617972187
2026-03-30 04:00:00,6.562641575990478e-31,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.20264719823187205
2026-04-29 04:00:00,1.294035191880223e-38,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.183492125622687
2026-05-29 04:00:00,1.1742429104552362e-39,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.18496423047691057
2026-06-29 04:00:00,5.407510581686955e-30,0.0,3.5,-0.008725906820136383,0.07767736166460006,7,0.2103668747890794
